"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "CSS", "PHP", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_color-scheme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 5, 0, 2, 1, 8
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_container.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 10
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_deprecate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 5, 0, 5, 1, 11
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 116, 0, 5, 17, 138
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_gradients.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 11, 10, 48
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_grid.scss", "SCSS", 0, 0, 0, 0, 0, 0, 88, 0, 21, 17, 126
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_image.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 9, 4, 17
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_list-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 3, 4, 25
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_lists.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 24, 0, 4, 4, 32
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_reset-text.scss", "SCSS", 0, 0, 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_resize.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_table-variants.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 2, 3, 22
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 5, 0, 2, 2, 9
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 0, 0, 22, 0, 1, 4, 27
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 45, 0, 11, 13, 69
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\mixins\_visually-hidden.scss", "SCSS", 0, 0, 0, 0, 0, 0, 16, 0, 9, 5, 30
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\utilities\_api.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 12, 7, 48
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\scss\bootstrap\scss\vendor\_rfs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 202, 0, 52, 59, 313
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3455, 4, 1, 3460
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 799, 4, 1, 804
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\user\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4523, 4, 1, 4528
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\validate-password-requirements\README.md", "Markdown", 0, 0, 0, 86, 0, 0, 0, 0, 0, 10, 96
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\validate-password-requirements\css\jquery.passwordRequirements.css", "CSS", 0, 0, 0, 0, 84, 0, 0, 0, 8, 0, 92
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\validate-password-requirements\demo.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 6, 6, 82
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\validate-password-requirements\js\jquery.passwordRequirements.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 38, 20, 186
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\validate-password-requirements\js\jquery.passwordRequirements.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 10
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\public\validate-password-requirements\passwordRequirements.jquery.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 34
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\routes\admin.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\routes\user.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\500.ejs", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 2, 4, 15
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\404.ejs", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 15, 18, 67
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\500.ejs", "HTML", 0, 33, 0, 0, 0, 0, 0, 0, 15, 19, 67
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\addAdmin.ejs", "HTML", 0, 98, 0, 0, 0, 0, 0, 0, 17, 44, 159
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\addproducts.ejs", "HTML", 0, 219, 0, 0, 0, 0, 0, 0, 33, 59, 311
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\brand.ejs", "HTML", 0, 150, 0, 0, 0, 0, 0, 0, 15, 32, 197
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\coupons.ejs", "HTML", 0, 234, 0, 0, 0, 0, 0, 0, 16, 54, 304
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\editeCoupon.ejs", "HTML", 0, 60, 0, 0, 0, 0, 0, 0, 12, 27, 99
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\editproduct.ejs", "HTML", 0, 225, 0, 0, 0, 0, 0, 0, 33, 44, 302
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\index.ejs", "HTML", 0, 335, 0, 0, 0, 0, 0, 0, 25, 96, 456
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\manageproducts.ejs", "HTML", 0, 146, 0, 0, 0, 0, 0, 0, 16, 51, 213
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\ordermanagement.ejs", "HTML", 0, 171, 0, 0, 0, 0, 0, 0, 16, 44, 231
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\settings.ejs", "HTML", 0, 244, 0, 0, 0, 0, 0, 0, 12, 48, 304
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\signin.ejs", "HTML", 0, 90, 0, 0, 0, 0, 0, 0, 12, 19, 121
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\usermanag.ejs", "HTML", 0, 164, 0, 0, 0, 0, 0, 0, 18, 29, 211
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\admin\viewmore.ejs", "HTML", 0, 85, 0, 0, 0, 0, 0, 0, 14, 35, 134
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\error.ejs", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 2, 4, 15
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\partials\adminHead.ejs", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 6, 7, 32
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\partials\adminnavbar.ejs", "HTML", 0, 48, 0, 0, 0, 0, 0, 0, 35, 1, 84
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\partials\adminsidebar.ejs", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\partials\adminspinner.ejs", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\partials\footer.ejs", "HTML", 0, 109, 0, 0, 0, 0, 0, 0, 1, 3, 113
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\partials\head.ejs", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 11, 3, 35
